1;409.77;410.07;409.38
2;205.52;205.41;205.47
4;104.11;103.79;103.26
6;70.73;70.55;70.72
8;54.25;54.16;54.18
10;54.97;66.74;67.88
12;58.42;57.39;57.59
14;50.48;51.07;51.12
16;45.57;45.83;45.20
18;42.06;41.85;42.13
20;38.42;38.21;36.63
22;34.77;34.87;34.51
24;32.19;32.79;32.59
26;30.14;30.44;30.26
28;28.34;25.83;28.31
30;26.49;26.52;25.49
32;24.64;26.18;25.98
34;26.66;26.44;26.87
36;27.06;26.63;26.86
38;27.58;27.23;26.83
40;27.19;27.05;26.95
42;27.14;26.27;25.50
44;25.67;25.71;23.60
46;26.57;26.51;26.48
48;26.03;26.26;26.35
50;26.23;25.82;26.60
52;26.71;25.47;25.08
54;25.51;25.28;25.31
56;26.46;25.89;26.23
58;25.89;26.21;26.31
60;25.80;25.75;25.80
62;26.19;26.34;26.75
64;25.61;26.29;26.55
66;26.02;25.95;25.92
68;25.04;26.09;26.11
70;26.06;26.38;25.80
72;26.12;24.81;25.19
74;25.27;25.21;25.29
76;25.51;25.44;25.64
78;25.90;25.83;26.27
80;25.59;23.03;25.44
82;25.46;25.70;25.22
84;25.33;25.10;24.98
86;25.02;25.58;25.79
88;25.62;25.64;24.22
90;25.59;25.42;25.48
92;25.35;25.35;24.49
94;25.03;25.16;22.99
96;22.78;25.01;25.40
98;25.18;24.01;26.08
100;26.13;25.67;24.68
102;25.85;24.71;26.18
104;26.47;26.61;26.94
106;26.70;26.27;24.75
108;24.24;24.34;24.76
110;24.23;24.73;24.42
112;24.46;24.32;24.54
114;24.44;25.10;23.63
116;24.84;24.91;25.24
118;25.19;24.61;26.31
120;26.18;26.04;25.80
122;24.98;25.20;25.41
124;25.50;22.67;23.87
126;25.93;25.88;25.69
128;25.64;25.79;24.67
130;24.43;24.40;25.28
132;25.35;24.70;26.02
134;25.12;23.67;22.82
136;23.61;24.31;26.09
138;25.35;25.74;26.34
140;25.62;25.68;24.75
142;25.01;24.59;26.39
144;24.82;25.06;25.13
146;24.21;23.44;25.96
148;25.71;25.80;24.48
150;23.65;24.79;25.08
152;24.95;24.79;25.12
154;24.90;24.95;25.36
156;25.29;24.60;25.27
158;25.17;24.87;24.91
160;24.38;24.73;24.05
162;25.30;26.03;25.68
164;25.29;25.06;24.88
166;25.29;25.04;24.82
168;24.48;24.97;24.97
170;24.35;25.01;24.44
172;22.43;24.47;24.39
174;25.04;24.63;23.16
176;25.86;25.20;25.04
178;25.10;25.38;25.72
180;24.13;24.76;24.76
182;24.57;24.61;24.49
184;24.67;25.72;25.71
